result_type,split,group,method,source_type,task_count,solve_count,success_coarse_count,success_coarse_rate,success_standard_count,success_standard_rate,success_strict_count,success_strict_rate,stagnation_count,stagnation_rate,max_iterations_count,max_iterations_rate,joint_limit_failure_count,joint_limit_failure_rate,non_finite_count,non_finite_rate,other_failure_count,other_failure_rate,median_iterations,p95_iterations,median_position_error_m,p95_position_error_m,max_position_error_m,median_orientation_error_deg,p95_orientation_error_deg,max_orientation_error_deg,median_initial_sigma_min,p10_initial_sigma_min,median_final_sigma_min,median_initial_joint_limit_margin,p10_initial_joint_limit_margin,percentage_initial_margin_zero,median_final_joint_limit_margin,percentage_final_margin_zero,recovery_rate,maximum_failure_streak,first_failure_index_median,completion_coverage_rate,source_reference
combined_frozen_aggregate,frozen_test,all_solves_combined,not_available,not_available,not_available,171600,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0.0,not_available,not_available,not_available,not_available,0.022981240622091698,0.8524308294231644,1.626429546098553,4.772832334095918,127.89500202958477,179.9991365379544,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,KR810_Tier0_Tier4_Dataset_v2.0.0/final_dls_summary.json::frozen_test.error_tails/failures (mixes point_ik+trajectory+warm+cold; not separable from the published aggregate alone)
point_ik,development,far_target,not_available,not_available,200,200,197,0.985,197,0.985,196,0.98,3,0.015,1,0.005,0,0.0,0,0.0,0,0.0,5.0,11.0,8.066832072643203e-05,0.00094274353058099,0.3815760594119299,0.0080529904506044,0.17812941408719443,58.57883567539314,0.12251029847932035,0.046736246154474824,0.1242685132917522,not_available,not_available,not_available,0.16675311293233586,0.015,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,development,large_orientation_change,not_available,not_available,200,200,179,0.895,179,0.895,179,0.895,21,0.105,0,0.0,0,0.0,0,0.0,0,0.0,13.0,28.399999999999864,0.00022867743195135,0.5290244660117595,1.2572801006756569,0.0163788254323039,91.14812914690854,152.20530117913978,0.11148249625398465,0.0487168648481174,0.12551808166210254,not_available,not_available,not_available,0.19094104627780195,0.05,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,development,medium_target,not_available,not_available,200,200,200,1.0,200,1.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,4.0,5.7236973011276604e-05,0.0008724173093314799,0.0009839315246804,0.005469685462530301,0.1467322548153808,0.5925691552436414,0.12442515620041615,0.05580370543042529,0.1190399654779265,not_available,not_available,not_available,0.14759718037483016,0.0,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,development,near_joint_limit,not_available,not_available,200,200,190,0.95,188,0.94,183,0.915,9,0.045,8,0.04,0,0.0,0,0.0,0,0.0,6.0,190.09999999999962,0.0002392124525325,0.004360050473766021,0.9102186533578804,0.0264014391849337,0.9966328222786627,140.3632903917822,0.11191961171476619,0.04934809873145517,0.10703778217260809,not_available,not_available,not_available,0.0161891352353966,0.25,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,development,near_singularity,not_available,not_available,200,200,193,0.965,192,0.96,184,0.92,8,0.04,8,0.04,0,0.0,0,0.0,0,0.0,5.0,225.34999999999954,0.00063118054565185,0.0014663350172553116,0.7991988614502595,0.031831095777681104,0.254217846345489,130.27880157717723,0.0199811079324491,0.00692932352233987,0.0218029190023278,not_available,not_available,not_available,0.11478217800530545,0.055,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,development,near_target,not_available,not_available,200,200,200,1.0,200,1.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,6.739944969532576e-05,0.0003981222400887399,0.0007250443864955,0.00785464276617375,0.06454041420185386,0.5759985531121078,0.10919350395588115,0.05008130698554701,0.10815551123134509,not_available,not_available,not_available,0.12370783065998345,0.0,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,frozen_test,all_groups_combined,not_available,not_available,3600,3600,3444,0.9566666666666667,3423,0.9508333333333333,3406,0.9461111111111111,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.001859905384229586,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,"KR810_Tier0_Tier4_Dataset_v2.0.0/final_dls_summary.json::frozen_test.point_ik (published aggregate; per-group/per-sample breakdown requires raw frozen_test files, not read this phase)"
point_ik,validation,far_target,not_available,not_available,200,200,195,0.975,195,0.975,195,0.975,5,0.025,0,0.0,0,0.0,0,0.0,0,0.0,5.0,10.0,0.00015081929398255,0.0009377886814445648,0.6758361550724711,0.010228235397055651,0.20405769378582087,78.29532332104439,0.11948915845918814,0.05061753227089008,0.11890396508883536,not_available,not_available,not_available,0.15744606441240422,0.01,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,validation,large_orientation_change,not_available,not_available,200,200,179,0.895,179,0.895,179,0.895,20,0.1,1,0.005,0,0.0,0,0.0,0,0.0,12.0,31.049999999999983,0.0001455347608355,0.5080830614308616,1.3617076232554717,0.012031473938676901,76.18918674451605,170.76861131918682,0.1174994171737071,0.04964588791951408,0.1341774024829128,not_available,not_available,not_available,0.16767817363904886,0.055,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,validation,medium_target,not_available,not_available,200,200,200,1.0,200,1.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,3.0,7.59671714510473e-05,0.0008529281203469949,0.0009882550814703,0.0072741407320981,0.13515799222255132,0.8296941361751959,0.11475380730396614,0.050532676142785775,0.11644885593422605,not_available,not_available,not_available,0.1527295943669785,0.0,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,validation,near_joint_limit,not_available,not_available,200,200,187,0.935,186,0.93,184,0.92,13,0.065,3,0.015,0,0.0,0,0.0,0,0.0,5.0,118.64999999999978,0.0001631338587807,0.019068817473726445,0.969513110100386,0.01295149154078355,2.0971960881602354,148.81418867167653,0.116578096706971,0.050179402649308966,0.12681920833300203,not_available,not_available,not_available,0.016522522537937602,0.21,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,validation,near_singularity,not_available,not_available,200,200,195,0.975,195,0.975,188,0.94,6,0.03,6,0.03,0,0.0,0,0.0,0,0.0,4.0,128.69999999999908,0.00062687779178035,0.0013034581185822254,1.3310670525224886,0.0310454062278082,0.24191498806423867,132.59102065914334,0.02243007716065235,0.01023986893163936,0.022935824456926802,not_available,not_available,not_available,0.130474415088699,0.035,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
point_ik,validation,near_target,not_available,not_available,200,200,200,1.0,200,1.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,7.7292163740297e-05,0.00033903559917785496,0.0009385515481042,0.0076370386421941005,0.06731715428144104,0.3406367959163438,0.11422522674239691,0.04563894556552129,0.11194657294649224,not_available,not_available,not_available,0.14249499712757885,0.0,not_available,not_available,not_available,not_available,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier1_point_dls/point_results.csv
trajectory,development,all_difficulty,cold_start,core,120,48000,not_available,not_available,not_available,0.37945833333333334,not_available,not_available,not_available,0.6223333333333333,not_available,0.006104166666666667,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.14743601015707958,1.0333479120403977,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
